CobbleID,DistanceBetweenLegs,Y,S
3,16.52,8.26,3.08
3,16.52,8.26,1.61
3,16.52,8.26,3.24
3,16.52,8.26,2.98
3,16.52,8.26,2.98
3,16.52,8.26,1.81
3,16.52,8.26,1.41
3,16.52,8.26,1.52
3,16.52,8.26,1.54
3,16.52,8.26,1.62
3,16.52,8.26,2.71
3,16.52,8.26,1.71
3,16.52,8.26,1.52
3,16.52,8.26,1.51
3,16.52,8.26,1.39
3,16.52,8.26,1.14
3,16.52,8.26,2.48
3,16.52,8.26,1.61
3,16.52,8.26,1.48
3,16.52,8.26,1.41
3,16.52,8.26,1.09
3,16.52,8.26,1.39
3,16.52,8.26,2.02
3,16.52,8.26,1.63
3,16.52,8.26,1.52
3,16.52,8.26,1.21
3,16.52,8.26,1.28
3,16.52,8.26,2.66
3,16.52,8.26,1.62
3,16.52,8.26,1.29
3,16.52,8.26,1.23
3,16.52,8.26,2.1
3,16.52,8.26,2.71
3,16.52,8.26,1.62
3,16.52,8.26,1.15
3,16.52,8.26,1.26
3,16.52,8.26,1.98
3,16.52,8.26,1.98
3,16.52,8.26,1.28
3,16.52,8.26,1.44
3,16.52,8.26,3.04
3,16.52,8.26,3.06
3,16.52,8.26,2.85
3,16.52,8.26,2.66
3,16.52,8.26,2.18
3,16.52,8.26,2.23
3,16.52,8.26,1.88
3,16.52,8.26,1.48
3,16.52,8.26,2.54
3,16.52,8.26,1.23
3,16.52,8.26,2.77
3,16.52,8.26,3.84
3,16.52,8.26,2.73
3,16.52,8.26,0.32
3,16.52,8.26,2.27
3,16.52,8.26,1.53
3,16.52,8.26,2.24
3,16.52,8.26,2.21
3,16.52,8.26,1.78
3,16.52,8.26,1.62
3,16.52,8.26,1.65
3,16.52,8.26,2.05
3,16.52,8.26,2.06
3,16.52,8.26,2.03
3,16.52,8.26,1.34
3,16.52,8.26,1.83
3,16.52,8.26,1.38
3,16.52,8.26,0.61
3,16.52,8.26,0.81
3,16.52,8.26,1.89
3,16.52,8.26,1.56
3,16.52,8.26,2.38
3,16.52,8.26,1.3
3,16.52,8.26,0.45
3,16.52,8.26,1.07
3,16.52,8.26,1.38
3,16.52,8.26,1.13
3,16.52,8.26,2.31
3,16.52,8.26,2.51
3,16.52,8.26,0.57
3,16.52,8.26,0.69
3,16.52,8.26,0.25
3,16.52,8.26,1.81
3,16.52,8.26,3.21
3,16.52,8.26,1.69
3,16.52,8.26,0.99
3,16.52,8.26,0.78
3,16.52,8.26,0.54
3,16.52,8.26,0.19
3,16.52,8.26,1.39
3,16.52,8.26,3.19
3,16.52,8.26,1.14
3,16.52,8.26,0.26
3,16.52,8.26,1.25
3,16.52,8.26,0.81
3,16.52,8.26,1.64
3,16.52,8.26,1.82
3,16.52,8.26,1.12
3,16.52,8.26,0.74
3,16.52,8.26,1.42
3,16.52,8.26,1.86
3,16.52,8.26,1.27
3,16.52,8.26,0.69
3,16.52,8.26,0.6
3,16.52,8.26,0.82
3,16.52,8.26,1.17
3,16.52,8.26,2.49
3,16.52,8.26,1.84
3,16.52,8.26,0.94
3,16.52,8.26,0.72
3,16.52,8.26,1.18
3,16.52,8.26,2.28
3,16.52,8.26,1.12
3,16.52,8.26,0.67
3,16.52,8.26,0.82
3,16.52,8.26,2.5
3,16.52,8.26,0.95
3,16.52,8.26,0.98
3,16.52,8.26,0.82
3,16.52,8.26,2.17
3,16.52,8.26,2.04
3,16.52,8.26,0.85
3,16.52,8.26,0.77
3,16.52,8.26,2.1
3,16.52,8.26,1.54
3,16.52,8.26,3.95
4,16.52,8.26,2.2
4,16.52,8.26,0.79
4,16.52,8.26,0.41
4,16.52,8.26,0.66
4,16.52,8.26,1.96
4,16.52,8.26,1.58
4,16.52,8.26,2.16
4,16.52,8.26,1.74
4,16.52,8.26,0.45
4,16.52,8.26,0.57
4,16.52,8.26,0.68
4,16.52,8.26,0.92
4,16.52,8.26,0.8
4,16.52,8.26,1.84
4,16.52,8.26,1.35
4,16.52,8.26,0.9
4,16.52,8.26,1.04
4,16.52,8.26,0.79
4,16.52,8.26,0.34
4,16.52,8.26,1.86
4,16.52,8.26,1.43
4,16.52,8.26,0.52
4,16.52,8.26,0.78
4,16.52,8.26,1.34
4,16.52,8.26,1.11
4,16.52,8.26,0.99
4,16.52,8.26,0.39
4,16.52,8.26,1.48
4,16.52,8.26,1.89
4,16.52,8.26,0.46
4,16.52,8.26,0.18
4,16.52,8.26,1.14
4,16.52,8.26,1.34
4,16.52,8.26,1.26
4,16.52,8.26,1.61
4,16.52,8.26,1.88
4,16.52,8.26,0.98
4,16.52,8.26,0.23
4,16.52,8.26,1.13
4,16.52,8.26,1.43
4,16.52,8.26,1.52
4,16.52,8.26,1.89
4,16.52,8.26,1.98
4,16.52,8.26,0.66
4,16.52,8.26,0.22
4,16.52,8.26,1.15
4,16.52,8.26,1.65
4,16.52,8.26,1.82
4,16.52,8.26,0.42
4,16.52,8.26,0.1
4,16.52,8.26,1.55
4,16.52,8.26,1.9
4,16.52,8.26,2.62
4,16.52,8.26,0.65
4,16.52,8.26,0.15
4,16.52,8.26,0.39
4,16.52,8.26,0.78
4,16.52,8.26,1.67
4,16.52,8.26,2.11
4,16.52,8.26,1.08
4,16.52,8.26,0.42
4,16.52,8.26,0.34
4,16.52,8.26,0.97
4,16.52,8.26,1.62
4,16.52,8.26,1.36
4,16.52,8.26,0.42
4,16.52,8.26,0.4
4,16.52,8.26,1.12
4,16.52,8.26,1.8
4,16.52,8.26,1.4
4,16.52,8.26,0.5
4,16.52,8.26,0.51
4,16.52,8.26,0.67
4,16.52,8.26,1.75
4,16.52,8.26,2.52
4,16.52,8.26,2.34
4,16.52,8.26,2.05
4,16.52,8.26,1.52
4,16.52,8.26,1.67
4,16.52,8.26,3.17
4,16.52,8.26,1.02
4,16.52,8.26,2.51
4,16.52,8.26,1.16
4,16.52,8.26,1.74
4,16.52,8.26,2.87
4,16.52,8.26,1.37
4,16.52,8.26,1.78
4,16.52,8.26,1.42
4,16.52,8.26,1.44
4,16.52,8.26,2.34
4,16.52,8.26,1.76
4,16.52,8.26,0.93
4,16.52,8.26,1.45
4,16.52,8.26,1.98
4,16.52,8.26,1.57
4,16.52,8.26,1.59
4,16.52,8.26,2
4,16.52,8.26,1.13
4,16.52,8.26,1.25
4,16.52,8.26,2.1
4,16.52,8.26,2.34
4,16.52,8.26,0.5
4,16.52,8.26,1.49
4,16.52,8.26,0.79
4,16.52,8.26,2.77
4,16.52,8.26,3
4,16.52,8.26,2.85
4,16.52,8.26,0.8
4,16.52,8.26,0.85
4,16.52,8.26,2.9
4,16.52,8.26,0.79
4,16.52,8.26,2.01
4,16.52,8.26,0.24
4,16.52,8.26,2.86
4,16.52,8.26,2.66
4,16.52,8.26,0.21
4,16.52,8.26,2.08
4,16.52,8.26,1.74
4,16.52,8.26,0.38
4,16.52,8.26,2.1
4,16.52,8.26,0.87
4,16.52,8.26,1.17
5,16.52,8.26,1.76
5,16.52,8.26,1.5
5,16.52,8.26,1.81
5,16.52,8.26,1.11
5,16.52,8.26,1.7
5,16.52,8.26,1.65
5,16.52,8.26,0.48
5,16.52,8.26,1.81
5,16.52,8.26,1.99
5,16.52,8.26,2.06
5,16.52,8.26,1.49
5,16.52,8.26,0.44
5,16.52,8.26,0.57
5,16.52,8.26,1.55
5,16.52,8.26,1.63
5,16.52,8.26,0.59
5,16.52,8.26,1.42
5,16.52,8.26,2.09
5,16.52,8.26,1.77
5,16.52,8.26,1.29
5,16.52,8.26,0.45
5,16.52,8.26,0.85
5,16.52,8.26,1.67
5,16.52,8.26,1.61
5,16.52,8.26,0.43
5,16.52,8.26,0.92
5,16.52,8.26,1.55
5,16.52,8.26,2.43
5,16.52,8.26,0.94
5,16.52,8.26,0.59
5,16.52,8.26,1.73
5,16.52,8.26,1.34
5,16.52,8.26,0.74
5,16.52,8.26,1.94
5,16.52,8.26,1.35
5,16.52,8.26,3
5,16.52,8.26,2.56
5,16.52,8.26,2.1
5,16.52,8.26,1.15
5,16.52,8.26,1.48
5,16.52,8.26,1.16
5,16.52,8.26,0.72
